id,generation,prop_cooperators,avg_cohesion,avg_cohesion_cooperators,avg_cohesion_cheaters,avg_fit_coops,avg_fit_cheat,speed
1,67,0.0,1.8049346566379232,nan,1.8049346566379232,nan,1.3781928007707962,1
1,68,0.0,1.8198711823239555,nan,1.8198711823239555,nan,1.2456530936655252,1
1,69,0.0,1.8118836652903323,nan,1.8118836652903323,nan,1.2148454656867327,1
1,70,0.0,1.8227407936041125,nan,1.8227407936041125,nan,1.2634198414186169,1
1,71,0.0,1.8294830310195689,nan,1.8294830310195689,nan,1.2254971125254972,1
1,72,0.0,1.8442005594152389,nan,1.8442005594152389,nan,1.1596840976442802,1
1,73,0.0,1.8543293545845567,nan,1.8543293545845567,nan,1.2758595656511973,1
1,74,0.0,1.846563468907344,nan,1.846563468907344,nan,1.2396127673151682,1
1,75,0.0,1.839525241007888,nan,1.839525241007888,nan,1.1346836525824275,1
1,76,0.0,1.838004315888368,nan,1.838004315888368,nan,1.414639105818611,1
1,77,0.0,1.857458575355592,nan,1.857458575355592,nan,1.262606065685821,1
1,78,0.0,1.853715208406713,nan,1.853715208406713,nan,1.4355492083164925,1
1,79,0.0,1.8259354976811921,nan,1.8259354976811921,nan,1.4651100456381352,1
1,80,0.0,1.8190605093813588,nan,1.8190605093813588,nan,1.4511376283793798,1
1,81,0.1,1.818880226439818,1.8085925280267623,1.8200233040412686,1.0,1.870627391292852,1
1,82,0.0,1.8067438662899302,nan,1.8067438662899302,nan,1.3451224409914873,1
1,83,0.0,1.8092068255172875,nan,1.8092068255172875,nan,1.2682045207726313,1
1,84,0.0,1.8178235792751771,nan,1.8178235792751771,nan,1.2728303405388703,1
1,85,0.0,1.8128960388682251,nan,1.8128960388682251,nan,1.5760296597744439,1
1,86,0.0,1.8110561264609135,nan,1.8110561264609135,nan,1.5964857929730418,1
1,87,0.0,1.8067708864911651,nan,1.8067708864911651,nan,1.2440075964223551,1
1,88,0.1,1.814240202149508,1.8071398298761263,1.8150291324021057,1.0,1.9103230593683387,1
1,89,0.1,1.829733653720395,1.8029794341206045,1.8327063447870384,1.0,1.6646188315171382,1
1,90,0.0,1.836124230632145,nan,1.836124230632145,nan,1.219317769537056,1
1,91,0.0,1.8207803533149214,nan,1.8207803533149214,nan,1.3657443807812049,1
1,92,0.0,1.8474929399084896,nan,1.8474929399084896,nan,1.2815990861215028,1
1,93,0.0,1.8455200477549725,nan,1.8455200477549725,nan,1.4613420276779903,1
1,94,0.0,1.8455848522630152,nan,1.8455848522630152,nan,1.2779916469374977,1
1,95,0.0,1.8497001607679877,nan,1.8497001607679877,nan,1.3036673484275598,1
1,96,0.0,1.8482296138707965,nan,1.8482296138707965,nan,1.4983450951412969,1
1,97,0.0,1.8334745792131504,nan,1.8334745792131504,nan,1.4800361279009193,1
1,98,0.0,1.8314920454134764,nan,1.8314920454134764,nan,1.4574674568932933,1
1,99,0.0,1.826738907338185,nan,1.826738907338185,nan,1.1164630310564019,1
